Relaxation Parameter A,Probability P_f,E_avg,E_std,E_min
218.0,0.0078125,3917.7549180167584,224.76355155217905,3495.6850105966114
220.82,0.015625,3916.779843763118,240.81625952883138,3314.2748341969673
223.64,0.03125,3925.9818072975863,215.2254645984138,3361.3072932035084
226.45999999999998,0.0234375,4015.4893758597796,234.39826584381805,3468.6943537848365
229.27999999999997,0.03125,4047.971024461667,213.73133541159913,3576.5627745140755
232.09999999999997,0.0546875,4009.0996272277644,243.845404117794,3399.541288187769
234.91999999999996,0.046875,4060.3867985735947,238.53023942648792,3461.605579755924
237.73999999999995,0.03125,4077.607441073643,252.6484040316219,3400.7412019827134
240.55999999999995,0.0703125,4113.0893800583835,253.5105095363775,3555.244303324802
243.37999999999994,0.0703125,4150.99887468183,244.58880959522932,3368.338193499312
246.19999999999993,0.0859375,4181.727959058483,226.24677616747556,3700.292325859631
249.01999999999992,0.0625,4160.717627866873,287.096758470625,3470.8175933032126
251.83999999999992,0.1171875,4251.857119758428,296.31172963492503,3591.61372972939
254.6599999999999,0.0625,4234.871277751416,273.16235503147414,3627.4707892174974
257.4799999999999,0.1015625,4268.744973211011,283.2807731400481,3572.5051903744534
260.2999999999999,0.1640625,4285.567061172737,292.2303540798816,3490.352593596008
263.1199999999999,0.1640625,4309.691758471652,261.5477498548478,3754.8267920159306
265.9399999999999,0.1875,4350.581062672562,252.39096219746804,3831.8934116876135
268.7599999999999,0.2109375,4378.139987703691,278.288457046559,3837.0615486592233
271.57999999999987,0.171875,4413.0702197564215,275.35105467479895,3571.3084853525725
274.39999999999986,0.2734375,4412.640899509715,270.1496020641415,3521.871850914664
277.21999999999986,0.2109375,4457.239384059112,313.9448411999621,3604.3303207729186
280.03999999999985,0.2421875,4464.307173454153,308.77849459767293,3780.208862057665
282.85999999999984,0.2578125,4508.036319380871,283.01652774994426,3735.3624725523623
285.67999999999984,0.2578125,4502.511914092885,319.3132883561904,3719.913226501947
288.49999999999983,0.2734375,4532.719206197647,330.0092547437432,3633.3256263504863
291.3199999999998,0.3359375,4603.975554770125,322.94146741229576,3735.2060678585585
294.1399999999998,0.3046875,4638.489781138633,301.77823227889866,3783.3256228771497
296.9599999999998,0.34375,4610.312255912564,324.9384912899352,3677.8894114134564
299.7799999999998,0.3515625,4664.723928934633,335.0180069375108,3819.3569659083587
302.5999999999998,0.328125,4679.326666901673,307.10564006947544,4093.6128601034598
305.4199999999998,0.421875,4744.449721390203,332.2855564895256,3920.996759264228
308.2399999999998,0.4296875,4708.333329304224,316.02077947132756,3841.9665571150017
311.0599999999998,0.421875,4709.124027110775,353.16857982145166,3526.979557443796
313.87999999999977,0.46875,4775.568464879387,310.67180566697226,3723.47881765505
316.69999999999976,0.4453125,4870.755506137332,346.41534169566233,3780.950735526436
319.51999999999975,0.484375,4866.350025422481,357.3964746226268,3818.130945048795
322.33999999999975,0.53125,4843.55480534139,354.3893918408408,3618.511794703867
325.15999999999974,0.5234375,4901.492767781168,360.10796197778365,3760.4186189609136
327.97999999999973,0.5703125,4945.190634521062,412.2143439468096,3622.726358710308
330.7999999999997,0.5703125,4909.4528556532505,412.42231139052404,3885.460080604218
333.6199999999997,0.65625,4934.316663873535,356.72013004647545,4060.5169732982395
336.4399999999997,0.546875,4977.780486505572,394.5289513323806,3966.9269979693418
339.2599999999997,0.6875,4947.772057753204,382.53022233962156,3951.933009028995
342.0799999999997,0.6328125,5078.018974298687,420.3456618427835,3997.2528619462064
344.8999999999997,0.4921875,5113.645454492101,336.2215212016935,4343.936545578046
347.7199999999997,0.6640625,5102.715556084081,413.6775047020679,4210.999571920987
350.5399999999997,0.6796875,5089.236571928875,413.58757963252054,4144.521989818917
353.3599999999997,0.703125,5081.927278783013,418.8026824513317,4039.251901379972
356.17999999999967,0.65625,5105.7711649079365,383.4095032854123,3966.2676273943907
358.99999999999966,0.6796875,5206.000794815,407.5033219988478,4277.825743121939
361.81999999999965,0.7578125,5164.617657744751,418.28177972013515,3866.0977603366955
364.63999999999965,0.6875,5161.053677260325,393.7837119600604,4223.556592690271
367.45999999999964,0.765625,5234.441072540419,412.50050042651776,4139.739123368963
370.27999999999963,0.6796875,5303.694142724467,409.2892128689065,4383.844642248416
373.0999999999996,0.765625,5303.005345448331,407.1104985409679,4378.162167139908
375.9199999999996,0.75,5239.90218042285,460.68361170992677,4354.503554149735
378.7399999999996,0.75,5208.884365884716,435.9506739987314,3970.60857063016
381.5599999999996,0.796875,5311.603574696105,397.2232898031443,4241.478466113411
384.3799999999996,0.8125,5369.7652164012925,421.89186554490897,4533.418582621784
387.1999999999996,0.7734375,5395.106518687582,437.4620675606973,4297.709074686132
390.0199999999996,0.8359375,5396.262773231352,365.29034001894587,4387.9606656112155
392.8399999999996,0.8046875,5337.88111263344,482.99088471429855,4245.833547265513
